Имя тега;Метка времени;Значение;Статус.Качество;Статус.Код;Статус.Описание;Аннотация
"AP_CS_SRV1_S.OUA_N.UB_Steam3.Boiler3_TI_308E_Value";Mon Aug 21 2023 05:31:43 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam3.Boiler3_TI_308F_Value";Mon Aug 21 2023 05:31:43 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam3.Boiler3_TI_309A_Value";Mon Aug 21 2023 05:31:43 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam3.Boiler3_TI_309C_Value";Mon Aug 21 2023 05:31:43 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam3.Boiler3_TI_316A_Value";Mon Aug 21 2023 05:31:43 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam3.Boiler3_TI_316B_Value";Mon Aug 21 2023 05:31:43 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam3.Boiler3_TI_316C_Value";Mon Aug 21 2023 05:31:43 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam3.Boiler3_ZI_301A_Value";Mon Aug 21 2023 05:31:43 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam3.Boiler3_ZI_302A_Value";Mon Aug 21 2023 05:31:43 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam3.Boiler3_ZI_303A_Value";Mon Aug 21 2023 05:31:43 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam3.Boiler3_ZI_304A_Value";Mon Aug 21 2023 05:31:43 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam3.Boiler3_ZI_305A_Value";Mon Aug 21 2023 05:31:43 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam3.Boiler3_ZI_306A_Value";Mon Aug 21 2023 05:31:43 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV1_S.OUA_N.UB_Steam3.Boiler3_ZI_307A_Value";Mon Aug 21 2023 05:31:43 GMT+0300 (Москва, стандартное время);"0";Bad;1;"";"";
"AP_CS_SRV2.OUA_R.CalcinationFurnace2.Calcin2_254_ALM_MSG";Mon Aug 21 2023 05:17:22 GMT+0300 (Москва, стандартное время);"false";Good;0;"";"";
"AP_CS_SRV2.OUA_R.CalcinationFurnace2.Calcin2_254_SJ100_START_BY";Mon Aug 21 2023 05:17:32 GMT+0300 (Москва, стандартное время);"true";Good;0;"";"";
"AP_CS_SRV2.OUA_R.CalcinationFurnace2.Calcin2_FI_251F_Value";Mon Aug 21 2023 11:26:32 GMT+0300 (Москва, стандартное время);"-1.1189874";Good;0;"";"";
